﻿MP's name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Adam Afriyie,Windsor CC,25900,Standard London Area budget,0,25900,145500,Standard London Area budget,101185.46,44314.54,n/a,,0,n/a,n/a,,0,n/a,101185.46,0,,0,,Uncapped,0,Uncapped,0,0,101185.46,1586
Adam Holloway,Gravesham CC,23250,Standard non-London Area budget,10099.42,13150.58,138600,Standard non-London Area budget,116561.02,22038.98,n/a,,0,n/a,n/a,,0,n/a,126660.44,0,,0,,Uncapped,3746.95,Uncapped,0,3746.95,130407.39,1522
Adrian Bailey,West Bromwich West BC,23250,Standard non-London Area budget,20155.37,3094.63,138600,Standard non-London Area budget,134057.46,4542.54,n/a,,0,n/a,n/a,,0,n/a,154212.83,20600,Standard budget for renting a property in the London Area,19158.85,1441.15,Uncapped,3896.09,Uncapped,0,23054.94,177267.77,320
Adrian Sanders,Torbay BC,23250,Standard non-London Area budget,16860.72,6389.28,138600,Standard non-London Area budget,132346.18,6253.82,n/a,,0,n/a,n/a,,0,n/a,149206.9,20600,Standard budget for renting a property in the London Area,17954.03,2645.97,Uncapped,10007.9,Uncapped,0,27961.93,177168.83,237
Aidan Burley,Cannock Chase CC,23250,Standard non-London Area budget,21827.45,1422.55,143722.75,"Standard non-London Area budget, plus an uplift of £5,122.74 to cover the cost of staff absence",139699.68,4023.07,n/a,,0,n/a,n/a,,0,n/a,161527.13,19526.79,"Standard budget for renting a property in the London Area, reduced by £1073.17 to offset an overspend in a previous financial year.",19473.07,53.72,Uncapped,7911.97,Uncapped,0,27385.04,188912.17,3937
Alan Beith,Berwick-upon-Tweed CC,23250,Standard non-London Area budget,22714.7,535.3,138600,Standard non-London Area budget,136451.39,2148.61,n/a,,0,n/a,n/a,,0,n/a,159166.09,20600,Standard budget for renting a property in the London Area,12318.95,8281.05,Uncapped,13975.44,Uncapped,0,26294.39,185460.48,513
Alan Campbell,Tynemouth BC,22672.51,Standard non-London Area budget reduced by £577.49 to offset an overspend in a previous financial year,20612.01,2060.5,138600,Standard non-London Area budget,91350.31,47249.69,n/a,,0,n/a,n/a,,0,n/a,111962.32,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),5470.17,3379.83,Uncapped,15039,Uncapped,0,20509.17,132471.49,529
Alan Duncan,Rutland and Melton CC,23250,Standard non-London Area budget,20218.78,3031.22,138600,Standard non-London Area budget,135402.6,3197.4,n/a,,0,n/a,n/a,,0,n/a,155621.38,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),6661.92,2188.08,Uncapped,293.5,Uncapped,0,6955.42,162576.8,343
Alan Haselhurst,Saffron Walden CC,23250,Standard non-London Area budget,15375.72,7874.28,138600,Standard non-London Area budget,107441.17,31158.83,n/a,,0,n/a,n/a,,0,n/a,122816.89,20600,Standard budget for renting a property in the London Area,16215.46,4384.54,Uncapped,3939.4,Uncapped,0,20154.86,142971.75,43
Alan Johnson,Kingston upon Hull West and Hessle BC,23250,Standard non-London Area budget,14554.5,8695.5,138600,Standard non-London Area budget,135220.99,3379.01,n/a,,0,n/a,n/a,,0,n/a,149775.49,23025,"Standard budget for renting a property in the London Area, plus an uplift to cover the cost of a dependant",17652.11,5372.89,Uncapped,6895.52,Uncapped,0,24547.63,174323.12,376
Alan Meale,Mansfield CC,23250,Standard non-London Area budget,20651.34,2598.66,138600,Standard non-London Area budget,122307.61,16292.39,n/a,,0,n/a,n/a,,0,n/a,142958.95,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),4807.85,4042.15,Uncapped,18586.86,Uncapped,0,23394.71,166353.66,361
Alan Reid,Argyll and Bute CC,23250,Standard non-London Area budget,22336.35,913.65,138600,Standard non-London Area budget,116066.61,22533.39,n/a,,0,n/a,n/a,,0,n/a,138402.96,Uncapped,Hotels,12300,n/a,Uncapped,22373.69,Uncapped,0,34673.69,173076.65,1385
Alan Whitehead,"Southampton, Test BC",23250,Standard non-London Area budget,18391.1,4858.9,138600,Standard non-London Area budget,136707.01,1892.99,n/a,,0,n/a,n/a,,0,n/a,155098.11,20600,Standard budget for renting a property in the London Area,19787.5,812.5,Uncapped,4063.05,Uncapped,0,23850.55,178948.66,62
Alasdair McDonnell,Belfast South BC,23250,Standard non-London Area budget,20382.75,2867.25,138011.64,Standard non-London Area budget reduced by £588.36 to offset an overspend in a previous financial year,137572.57,439.07,n/a,,0,n/a,n/a,,0,n/a,157955.32,Uncapped,Hotels,1075,n/a,Uncapped,16146.73,Uncapped,0,17221.73,175177.05,1596
Albert Owen,Ynys Môn CC,23250,Standard non-London Area budget,16530.87,6719.13,138600,Standard non-London Area budget,131476.73,7123.27,n/a,,0,n/a,n/a,,0,n/a,148007.6,20600,Standard budget for renting a property in the London Area,20600,0,Uncapped,9378.39,Uncapped,0,29978.39,177985.99,1474
Alec Shelbrooke,Elmet and Rothwell CC,23250,Standard non-London Area budget,9064.86,14185.14,138600,Standard non-London Area budget,125361.24,13238.76,n/a,,0,n/a,n/a,,0,n/a,134426.1,20600,Standard budget for renting a property in the London Area,20550.54,49.46,Uncapped,10636.43,Uncapped,0,31186.97,165613.07,3997
Alex Cunningham,Stockton North BC,23250,Standard non-London Area budget,16363.34,6886.66,140100,"Standard non-London Area budget, plus an uplift of £1,500.00 to account for a repayment made to the budget",139468.69,631.31,n/a,,0,n/a,n/a,,0,n/a,155832.03,20600,Standard budget for renting a property in the London Area,17837.67,2762.33,Uncapped,8231.43,Uncapped,0,26069.1,181901.13,4122
Alison McGovern,Wirral South CC,23250,Standard non-London Area budget,14472.44,8777.56,138600,Standard non-London Area budget,123107.98,15492.02,n/a,,0,n/a,n/a,,0,n/a,137580.42,23025,"Standard budget for renting a property in the London Area, plus an uplift to cover the cost of a dependant",22141.83,883.17,Uncapped,9002.81,Uncapped,0,31144.64,168725.06,4083
Alison Seabeck,"Plymouth, Moor View BC",23250,Standard non-London Area budget,12285.82,10964.18,138600,Standard non-London Area budget,130848.18,7751.82,n/a,,0,n/a,n/a,,0,n/a,143134,8850,Standard budget for an MP who owns their own property and is claiming the associated costs only (such as utilities),4614.25,4235.75,Uncapped,9054.05,Uncapped,0,13668.3,156802.3,1552
Alistair Burt,North East Bedfordshire CC,23250,Standard non-London Area budget,11297.03,11952.97,138600,Standard non-London Area budget,138600,0,n/a,,0,n/a,n/a,,0,n/a,149897.03,20600,Standard budget for renting a property in the London Area,19181.66,1418.34,Uncapped,6464.5,Uncapped,0,25646.16,175543.19,1201
Alistair Carmichael,Orkney and Shetland CC,22590.65,Standard non-London Area budget reduced by £659.35 to offset an overspend in a previous financial year,23643.84,-1053.19,138600,Standard non-London Area budget,113702.3,24897.7,n/a,,0,n/a,n/a,,0,n/a,137346.14,25450,"Standard budget for renting a property in the London Area, plus an uplift to cover the cost of two dependants",12650.45,12799.55,Uncapped,27157.31,Uncapped,0,39807.76,177153.9,1442
Alistair Darling,Edinburgh South West BC,23250,Standard non-London Area budget,16073.11,7176.89,138600,Standard non-London Area budget,114172.14,24427.86,n/a,,0,n/a,n/a,,0,n/a,130245.25,20600,Standard budget for renting a property in the London Area,19896,704,Uncapped,10927.23,Uncapped,0,30823.23,161068.48,596
Alok Sharma,Reading West CC,23250,Standard non-London Area budget,12702.02,10547.98,138600,Standard non-London Area budget,136623.96,1976.04,n/a,,0,n/a,n/a,,0,n/a,149325.98,0,,0,,Uncapped,9190.53,Uncapped,0,9190.53,158516.51,4014
Alun Cairns,Vale of Glamorgan CC,23250,Standard non-London Area budget,21278.43,1971.57,144514.28,"Standard non-London Area budget, plus an uplift of £5,568.00 to cover the cost of staff redundancy and £346.28 to cover the cost of staff absence",137699.45,6814.83,n/a,,0,n/a,n/a,,0,n/a,158977.88,20600,Standard budget for renting a property in the London Area,19065.95,1534.05,Uncapped,14242.63,Uncapped,0,33308.58,192286.46,4086
Amber Rudd,Hastings and Rye CC,23250,Standard non-London Area budget,22834.96,415.04,138600,Standard non-London Area budget,137127.53,1472.47,n/a,,0,n/a,n/a,,0,n/a,159962.49,11350,Standard budget for renting in constituency band D,10557.79,792.21,Uncapped,2921.98,Uncapped,260,13739.77,173702.26,3983
