﻿MP's name,Constituency,Office budget,Reason for budget set,Office spend,Remaining office budget,Staffing budget,Reason for budget set,Staffing spend,Remaining staffing budget,Winding-up budget,Reason for budget set,Winding-up spend,Remaining winding-up budget,Accommodation budget,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence (uncapped),Other costs (uncapped),pID
Aaron Bell,Newcastle-under-Lyme BC,"£30,570.00",Standard non-London area budget,"£29,242.07","£1,327.93","£236,170.00",Standard non-London area budget,"£221,435.57","£14,734.43",£0.00,N/A,£0.00,£0.00,"£45,200.00","Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants","£41,419.42","£3,780.58","£15,161.84",£0.00,4837
Abena Oppong-Asare,Erith and Thamesmead BC,"£33,840.00",Standard London area budget,"£23,522.11","£10,317.89","£252,870.00",Standard London area budget,"£229,901.96","£22,968.04",£0.00,N/A,£0.00,£0.00,£0.00,N/A,£0.00,£0.00,£5.40,£912.15,4820
Adam Afriyie,Windsor CC,"£33,840.00",Standard London area budget,£690.00,"£33,150.00","£252,870.00",Standard London area budget,"£142,626.62","£110,243.38",£0.00,N/A,£0.00,£0.00,£0.00,N/A,£0.00,£0.00,£0.00,£0.00,1586
Adam Holloway,Gravesham CC,"£30,570.00",Standard non-London area budget,"£21,506.75","£9,063.25","£236,170.00",Standard non-London area budget,"£195,803.90","£40,366.10",£0.00,N/A,£0.00,£0.00,£0.00,N/A,£0.00,£0.00,"£6,255.88",£0.00,1522
Afzal Khan,"Manchester, Gorton BC","£30,570.00",Standard non-London area budget,"£19,193.84","£11,376.16","£236,170.00",Standard non-London area budget,"£189,727.82","£46,442.18",£0.00,N/A,£0.00,£0.00,"£26,840.00",Standard budget for renting a property in the London area,"£24,060.35","£2,779.65","£10,354.26",£0.00,4671
Alan Brown,Kilmarnock and Loudoun CC,"£30,570.00",Standard non-London area budget,"£27,525.21","£3,044.79","£236,170.00",Standard non-London area budget,"£185,096.84","£51,073.16",£0.00,N/A,£0.00,£0.00,"£26,840.00",Standard budget for renting a property in the London area,"£22,814.91","£4,025.09","£28,289.50",£0.00,4470
Alan Campbell,Tynemouth BC,"£30,570.00",Standard non-London area budget,"£21,472.39","£9,097.61","£236,170.00",Standard non-London area budget,"£172,755.44","£63,414.56",£0.00,N/A,£0.00,£0.00,"£6,330.00",Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),"£6,330.00",£0.00,"£12,457.07",£220.00,529
Alan Mak,Havant BC,"£30,570.00",Standard non-London area budget,"£30,542.51",£27.49,"£236,170.00",Standard non-London area budget,"£183,148.50","£53,021.50",£0.00,N/A,£0.00,£0.00,"£19,090.00",Standard budget for renting a property outside the London area,"£12,581.28","£6,508.72","£6,975.02",£0.00,4484
Alan Whitehead,"Southampton, Test BC","£30,570.00",Standard non-London area budget,"£25,244.31","£5,325.69","£236,170.00",Standard non-London area budget,"£180,768.51","£55,401.49",£0.00,N/A,£0.00,£0.00,"£26,840.00",Standard budget for renting a property in the London area,"£20,540.04","£6,299.96","£7,916.39",£0.00,62
Alberto Costa,South Leicestershire CC,"£30,570.00",Standard non-London area budget,"£30,048.20",£521.80,"£236,170.00",Standard non-London area budget,"£163,111.28","£73,058.72",£0.00,N/A,£0.00,£0.00,"£39,080.00","Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants","£29,017.32","£10,062.68","£11,731.55",£0.00,4439
Alec Shelbrooke,Elmet and Rothwell CC,"£30,570.00",Standard non-London area budget,"£23,470.84","£7,099.16","£236,170.00",Standard non-London area budget,"£185,401.48","£50,768.52",£0.00,N/A,£0.00,£0.00,"£26,840.00",Standard budget for renting a property in the London area,"£22,208.59","£4,631.41","£5,702.94",£0.00,3997
Alex Burghart,Brentwood and Ongar CC,"£33,840.00",Standard London area budget,"£6,332.88","£27,507.12","£252,870.00",Standard London area budget,"£179,661.98","£73,208.02",£0.00,N/A,£0.00,£0.00,£0.00,N/A,£0.00,£0.00,£0.00,£0.00,4613
Alex Chalk,Cheltenham BC,"£30,570.00",Standard non-London area budget,"£24,616.84","£5,953.16","£236,170.00",Standard non-London area budget,"£226,326.99","£9,843.01",£0.00,N/A,£0.00,£0.00,"£6,330.00",Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),"£1,723.18","£4,606.82","£2,451.19",£0.00,4481
Alex Cunningham,Stockton North BC,"£30,570.00",Standard non-London area budget,"£19,688.09","£10,881.91","£236,170.00",Standard non-London area budget,"£219,165.15","£17,004.85",£0.00,N/A,£0.00,£0.00,"£26,840.00",Standard budget for renting a property in the London area,"£24,719.76","£2,120.24","£11,516.46",£0.00,4122
Alex Davies-Jones,Pontypridd CC,"£30,570.00",Standard non-London area budget,"£24,077.50","£6,492.50","£236,170.00",Standard non-London area budget,"£202,911.23","£33,258.77",£0.00,N/A,£0.00,£0.00,"£39,080.00","Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants","£30,786.23","£8,293.77","£14,402.65",£0.00,4849
Alex Norris,Nottingham North BC,"£30,570.00",Standard non-London area budget,"£27,644.46","£2,925.54","£236,170.00",Standard non-London area budget,"£218,269.18","£17,900.82",£0.00,N/A,£0.00,£0.00,"£26,840.00",Standard budget for renting a property in the London area,"£25,627.97","£1,212.03","£4,791.00",£0.00,4641
Alex Sobel,Leeds North West BC,"£30,570.00",Standard non-London area budget,"£30,221.51",£348.49,"£236,170.00",Standard non-London area budget,"£233,575.84","£2,594.16",£0.00,N/A,£0.00,£0.00,"£39,080.00","Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants","£31,922.03","£7,157.97","£15,485.22",£0.00,4658
Alexander Stafford,Rother Valley CC,"£30,570.00",Standard non-London area budget,"£29,006.83","£1,563.17","£236,170.00",Standard non-London area budget,"£185,464.25","£50,705.75",£0.00,N/A,£0.00,£0.00,"£31,330.00","Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants","£21,266.88","£10,063.12","£7,649.56",£0.00,4866
Alicia Kearns,Rutland and Melton CC,"£30,570.00",Standard non-London area budget,"£24,527.73","£6,042.27","£236,170.00",Standard non-London area budget,"£221,468.57","£14,701.43",£0.00,N/A,£0.00,£0.00,"£39,080.00","Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants","£37,547.86","£1,532.14","£7,091.88",£0.00,4805
Alison McGovern,Wirral South CC,"£30,570.00",Standard non-London area budget,"£21,286.44","£9,283.56","£236,170.00",Standard non-London area budget,"£225,731.90","£10,438.10",£0.00,N/A,£0.00,£0.00,"£32,960.00","Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant","£18,579.34","£14,380.66","£12,780.60",£0.00,4083
