﻿﻿MP's name,Previous constituency,Constituency since 5 July 2024,Office budget,Reason for budget set,Office spend,Remaining office budget,Staffing budget,Reason for budget set,Staffing spend,Remaining staffing budget,Winding-up budget,Reason for budget set,Winding-up spend,Remaining winding-up budget,Accommodation budget,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence (uncapped),Other costs (uncapped),pID
Aaron Bell,Newcastle-under-Lyme BC,N/A,"£19,721.54",Standard non-London area budget until 4 November 2024,"£11,606.36","£8,115.18","£149,804.82",Standard non-London area budget until 4 November 2024,"£104,932.80","£44,872.02",N/A,N/A,N/A,N/A,"£29,462.85","Standard budget for renting a property in the London area until 4 November 2024, with an uplift to cover the cost of three dependants","£27,277.56","£2,185.29","£4,005.79","£26,757.13",4837
Abena Oppong-Asare,Erith and Thamesmead BC,Erith and Thamesmead BC,"£42,550.00","Standard London area budget, and a start-up supplement of £6,000","£24,015.79","£18,534.21","£268,550.00",Standard London area budget,"£264,296.55","£4,253.45",N/A,N/A,N/A,N/A,£0.00,N/A,£0.00,£0.00,£0.00,£0.00,4820
Abtisam Mohamed,N/A,Sheffield Central BC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£27,698.40","£2,727.35","£185,538.08",Standard non-London area budget from 5 July 2024,"£151,042.72","£34,495.36",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£17,733.37","£3,933.21","£6,489.82",£0.00,5142
Adam Afriyie,Windsor CC,N/A,"£21,829.86",Standard London area budget until 4 November 2024,£360.00,"£21,469.86","£160,394.25",Standard London area budget until 4 November 2024,"£58,852.80","£101,541.45",N/A,N/A,N/A,N/A,£0.00,N/A,£0.00,£0.00,£0.00,"£31,747.99",1586
Adam Dance,N/A,Yeovil CC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£22,774.73","£7,651.02","£185,538.08",Standard non-London area budget from 5 July 2024,"£145,317.51","£40,220.57",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£18,333.38","£3,333.20","£11,304.22",£0.00,5191
Adam Holloway,Gravesham CC,N/A,"£19,721.54",Standard non-London area budget until 4 November 2024,"£5,170.50","£14,551.04","£149,804.82",Standard non-London area budget until 4 November 2024,"£112,973.72","£36,831.10",N/A,N/A,N/A,N/A,£0.00,N/A,£0.00,£0.00,"£1,031.41","£49,026.52",1522
Adam Jogee,N/A,Newcastle-under-Lyme CC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£26,378.48","£4,047.27","£185,538.08",Standard non-London area budget from 5 July 2024,"£141,018.15","£44,519.93",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£8,611.15","£13,055.43","£16,510.73",£0.00,5168
Adam Thompson,N/A,Erewash CC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£15,562.50","£14,863.25","£185,538.08",Standard non-London area budget from 5 July 2024,"£138,087.72","£47,450.36",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£15,237.00","£6,429.58","£10,777.02",£0.00,5044
Adnan Hussain,N/A,Blackburn BC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£15,246.58","£15,179.17","£185,538.08",Standard non-London area budget from 5 July 2024,"£92,315.96","£93,222.12",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£15,015.13","£6,651.45","£4,213.12",£0.00,5231
Adrian Ramsay,N/A,Waveney Valley CC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£18,769.46","£11,656.29","£185,538.08",Standard non-London area budget from 5 July 2024,"£157,408.97","£28,129.11",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£13,724.33","£7,942.25","£5,874.56",£0.00,5320
Afzal Khan,"Manchester, Gorton BC",Manchester Rusholme BC,"£33,020.00",Standard non-London area budget,"£18,890.96","£14,129.04","£250,820.00",Standard non-London area budget,"£194,632.50","£56,187.50",N/A,N/A,N/A,N/A,"£29,290.00",Standard budget for renting a property in the London area,"£25,791.84","£3,498.16","£8,551.74",£0.00,4671
Al Carns,N/A,Birmingham Selly Oak BC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£25,716.11","£4,709.64","£185,538.08",Standard non-London area budget from 5 July 2024,"£111,085.21","£74,452.87",N/A,N/A,N/A,N/A,"£31,549.32","Standard budget for renting a property in the London area from 5 July 2024, with an uplift to cover the cost of two dependants","£28,793.39","£2,755.93","£4,506.36",£0.00,5235
Al Pinkerton,N/A,Surrey Heath CC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£26,875.16","£3,550.59","£185,538.08",Standard non-London area budget from 5 July 2024,"£156,008.39","£29,529.69",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£3,596.00","£18,070.58","£3,303.65",£0.00,5288
Alan Brown,Kilmarnock and Loudoun CC,N/A,"£19,721.54",Standard non-London area budget until 4 November 2024,"£15,461.21","£4,260.33","£149,804.82",Standard non-London area budget until 4 November 2024,"£103,582.67","£46,222.15",N/A,N/A,N/A,N/A,"£17,493.75",Standard budget for renting a property in the London area until 4 November 2024,"£15,458.51","£2,035.24","£7,735.04","£48,109.17",4470
Alan Campbell,Tynemouth BC,Tynemouth BC,"£33,020.00",Standard non-London area budget,"£22,895.09","£10,124.91","£250,820.00",Standard non-London area budget,"£184,174.84","£66,645.16",N/A,N/A,N/A,N/A,"£20,221.78","Standard budget for renting a property in the London area until 11 April 2024, and outside the London area from 12 April 2024","£14,203.81","£6,017.97","£6,854.56",£0.00,529
Alan Gemmell,N/A,Central Ayrshire CC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£26,919.83","£3,505.92","£185,538.08",Standard non-London area budget from 5 July 2024,"£99,663.85","£85,874.23",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£20,821.96",£844.62,"£23,219.91",£0.00,5185
Alan Mak,Havant BC,Havant BC,"£33,020.00",Standard non-London area budget,"£33,003.95",£16.05,"£250,820.00",Standard non-London area budget,"£235,219.31","£15,600.69",N/A,N/A,N/A,N/A,"£19,940.00",Standard budget for renting a property outside the London area,"£16,125.77","£3,814.23","£7,928.77",£0.00,4484
Alan Strickland,N/A,Newton Aycliffe and Spennymoor CC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£25,668.48","£4,757.27","£185,538.08",Standard non-London area budget from 5 July 2024,"£122,949.07","£62,589.01",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£14,362.93","£7,303.65","£11,630.83",£0.00,5080
Alan Whitehead,"Southampton, Test BC",N/A,"£19,721.54",Standard non-London area budget until 4 November 2024,"£12,015.31","£7,706.23","£149,804.82",Standard non-London area budget until 4 November 2024,"£91,658.57","£58,146.25",N/A,N/A,N/A,N/A,"£17,493.75",Standard budget for renting a property in the London area until 4 November 2024,"£8,349.09","£9,144.66","£1,765.43","£62,973.79",62
Alberto Costa,South Leicestershire CC,South Leicestershire CC,"£33,020.00",Standard non-London area budget,"£27,740.24","£5,279.76","£250,820.00",Standard non-London area budget,"£220,680.41","£30,139.59",N/A,N/A,N/A,N/A,"£42,650.00","Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants","£29,401.26","£13,248.74","£13,749.66",£0.00,4439
Alec Shelbrooke,Elmet and Rothwell CC,Wetherby and Easingwold CC,"£33,020.00",Standard non-London area budget,"£27,644.62","£5,375.38","£250,820.00",Standard non-London area budget,"£215,043.72","£35,776.28",N/A,N/A,N/A,N/A,"£29,290.00",Standard budget for renting a property in the London area,"£25,131.47","£4,158.53","£6,838.12",£0.00,3997
Alex Baker,N/A,Aldershot BC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£30,425.75",£0.00,"£185,538.08",Standard non-London area budget from 5 July 2024,"£135,603.55","£49,934.53",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£1,379.00","£20,287.58","£7,619.33",£0.00,5173
Alex Ballinger,N/A,Halesowen BC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£27,944.36","£2,481.39","£185,538.08",Standard non-London area budget from 5 July 2024,"£157,127.41","£28,410.67",N/A,N/A,N/A,N/A,"£21,666.58",Standard budget for renting a property in the London area from 5 July 2024,"£18,537.60","£3,128.98","£4,423.77","£3,060.00",5238
Alex Barros-Curtis,N/A,Cardiff West BC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£15,962.45","£14,463.30","£185,538.08",Standard non-London area budget from 5 July 2024,"£89,856.99","£95,681.09",N/A,N/A,N/A,N/A,"£18,695.07","Standard budget for renting a property in the London area until 5 December 2024, and outside the London area from 6 December 2024","£6,415.15","£12,279.92","£5,291.96",£0.00,5175
Alex Brewer,N/A,North East Hampshire CC,"£30,425.75","Standard non-London area budget from 5 July 2024, and a start-up supplement of £6,000","£19,405.92","£11,019.83","£185,538.08",Standard non-London area budget from 5 July 2024,"£165,648.65","£19,889.43",N/A,N/A,N/A,N/A,"£31,549.32","Standard budget for renting a property in the London area from 5 July 2024, with an uplift to cover the cost of two dependants","£10,074.64","£21,474.68","£3,505.34",£0.00,5263
Alex Burghart,Brentwood and Ongar CC,Brentwood and Ongar CC,"£36,550.00",Standard London area budget,"£8,058.95","£28,491.05","£268,550.00",Standard London area budget,"£195,561.21","£72,988.79",N/A,N/A,N/A,N/A,£0.00,N/A,£0.00,£0.00,£0.00,£0.00,4613
